date,oxford_gov_response_index,oxford_stringency_index
2020-01-01,NA,NA
2020-01-02,NA,NA
2020-01-03,NA,NA
2020-01-04,NA,NA
2020-01-05,NA,NA
2020-01-06,NA,NA
2020-01-07,NA,NA
2020-01-08,NA,NA
2020-01-09,NA,NA
2020-01-10,NA,NA
2020-01-11,NA,NA
2020-01-12,NA,NA
2020-01-13,NA,NA
2020-01-14,NA,NA
2020-01-15,NA,NA
2020-01-16,NA,NA
2020-01-17,NA,NA
2020-01-18,NA,NA
2020-01-19,NA,NA
2020-01-20,NA,NA
2020-01-21,NA,NA
2020-01-22,8.33,0
2020-01-23,8.33,0
2020-01-24,8.33,0
2020-01-25,8.33,0
2020-01-26,8.33,0
2020-01-27,8.33,0
2020-01-28,9.9,2.78
2020-01-29,9.9,2.78
2020-01-30,9.9,2.78
2020-01-31,9.9,2.78
2020-02-01,9.9,2.78
2020-02-02,9.9,2.78
2020-02-03,9.9,2.78
2020-02-04,9.9,2.78
2020-02-05,9.9,2.78
2020-02-06,9.9,2.78
2020-02-07,9.9,2.78
2020-02-08,9.9,2.78
2020-02-09,9.9,2.78
2020-02-10,9.9,2.78
2020-02-11,13.02,8.33
2020-02-12,13.02,8.33
2020-02-13,13.02,8.33
2020-02-14,13.02,8.33
2020-02-15,13.02,8.33
2020-02-16,13.02,8.33
2020-02-17,13.02,8.33
2020-02-18,13.02,8.33
2020-02-19,13.02,8.33
2020-02-20,13.02,8.33
2020-02-21,13.02,8.33
2020-02-22,13.02,8.33
2020-02-23,13.02,8.33
2020-02-24,13.02,8.33
2020-02-25,13.02,8.33
2020-02-26,13.02,8.33
2020-02-27,13.02,8.33
2020-02-28,13.02,8.33
2020-02-29,18.23,13.89
2020-03-01,18.23,13.89
2020-03-02,18.23,13.89
2020-03-03,18.23,13.89
2020-03-04,21.88,20.37
2020-03-05,18.75,20.37
2020-03-06,18.75,20.37
2020-03-07,18.75,20.37
2020-03-08,18.75,20.37
2020-03-09,18.75,20.37
2020-03-10,22.4,20.37
2020-03-11,27.86,30.09
2020-03-12,27.86,30.09
2020-03-13,29.95,33.8
2020-03-14,29.95,33.8
2020-03-15,29.95,33.8
2020-03-16,45.31,57.41
2020-03-17,49.48,64.81
2020-03-18,55.73,64.81
2020-03-19,55.73,64.81
2020-03-20,55.73,64.81
2020-03-21,55.73,64.81
2020-03-22,55.73,64.81
2020-03-23,64.06,79.63
2020-03-24,64.06,79.63
2020-03-25,64.06,79.63
2020-03-26,64.06,79.63
2020-03-27,67.19,79.63
2020-03-28,67.19,79.63
2020-03-29,67.19,79.63
2020-03-30,67.19,79.63
2020-03-31,67.19,79.63
2020-04-01,67.19,79.63
2020-04-02,67.19,79.63
2020-04-03,67.19,79.63
2020-04-04,68.75,79.63
2020-04-05,68.75,79.63
2020-04-06,68.75,79.63
2020-04-07,68.75,79.63
2020-04-08,68.75,79.63
2020-04-09,68.75,79.63
2020-04-10,68.75,79.63
2020-04-11,68.75,79.63
2020-04-12,68.75,79.63
2020-04-13,68.75,79.63
2020-04-14,68.75,79.63
2020-04-15,68.75,79.63
2020-04-16,68.75,79.63
2020-04-17,68.75,79.63
2020-04-18,68.75,79.63
2020-04-19,68.75,79.63
2020-04-20,68.75,79.63
2020-04-21,68.75,79.63
2020-04-22,68.75,79.63
2020-04-23,68.75,79.63
2020-04-24,68.75,79.63
2020-04-25,68.75,79.63
2020-04-26,68.75,79.63
2020-04-27,68.75,79.63
2020-04-28,68.75,79.63
2020-04-29,68.75,79.63
2020-04-30,68.75,79.63
2020-05-01,68.75,79.63
2020-05-02,68.75,79.63
2020-05-03,68.75,79.63
2020-05-04,65.89,74.54
2020-05-05,65.89,74.54
2020-05-06,65.89,74.54
2020-05-07,65.89,74.54
2020-05-08,65.89,74.54
2020-05-09,65.89,74.54
2020-05-10,65.89,74.54
2020-05-11,65.89,74.54
2020-05-12,65.89,74.54
2020-05-13,67.97,74.54
2020-05-14,67.97,74.54
2020-05-15,67.97,74.54
2020-05-16,67.97,74.54
2020-05-17,67.97,74.54
2020-05-18,67.97,74.54
2020-05-19,67.97,74.54
2020-05-20,67.97,74.54
2020-05-21,67.97,74.54
2020-05-22,67.97,74.54
2020-05-23,67.97,74.54
2020-05-24,67.97,74.54
2020-05-25,67.97,74.54
2020-05-26,67.97,74.54
2020-05-27,67.97,74.54
2020-05-28,67.97,74.54
2020-05-29,67.97,74.54
2020-05-30,67.97,74.54
2020-05-31,67.97,74.54
2020-06-01,63.8,67.13
2020-06-02,63.8,67.13
2020-06-03,63.8,67.13
2020-06-04,63.8,67.13
2020-06-05,62.24,64.35
2020-06-06,62.24,64.35
2020-06-07,62.24,64.35
2020-06-08,62.24,64.35
2020-06-09,62.24,64.35
2020-06-10,62.24,64.35
2020-06-11,62.24,64.35
2020-06-12,62.24,64.35
2020-06-13,62.24,64.35
2020-06-14,62.24,64.35
2020-06-15,62.24,64.35
2020-06-16,62.24,64.35
2020-06-17,62.24,64.35
2020-06-18,62.24,64.35
2020-06-19,62.24,64.35
2020-06-20,61.2,62.5
2020-06-21,61.2,62.5
2020-06-22,61.2,62.5
2020-06-23,61.2,62.5
2020-06-24,61.2,62.5
2020-06-25,61.2,62.5
