ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-03-01,USA,FIPS,53033,King,0.0132,0.17903000000000002,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-02,USA,FIPS,53033,King,-0.041370000000000004,0.13854000000000002,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-03,USA,FIPS,53033,King,-0.03969,0.13663,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-04,USA,FIPS,53033,King,-0.04345,0.13401000000000002,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-05,USA,FIPS,53033,King,-0.09634000000000001,0.14429,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-06,USA,FIPS,53033,King,-0.12727000000000002,0.1557,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-07,USA,FIPS,53033,King,-0.09229000000000001,0.19113000000000002,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-08,USA,FIPS,53033,King,-0.08919,0.21788000000000002,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-09,USA,FIPS,53033,King,-0.10347,0.16263000000000002,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-10,USA,FIPS,53033,King,-0.10695,0.16337000000000002,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-11,USA,FIPS,53033,King,-0.11877000000000001,0.16037,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-12,USA,FIPS,53033,King,-0.16161,0.17135,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-13,USA,FIPS,53033,King,-0.21002,0.1905,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-14,USA,FIPS,53033,King,-0.18462,0.22113000000000002,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-15,USA,FIPS,53033,King,-0.18041000000000001,0.255,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-16,USA,FIPS,53033,King,-0.21896000000000002,0.21191000000000002,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-17,USA,FIPS,53033,King,-0.25718,0.23755,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-18,USA,FIPS,53033,King,-0.2743,0.24112000000000003,full_february_except_presidents_day,DAY_OF_WEEK
2020-03-19,USA,FIPS,53033,King,-0.30182000000000003,0.24444000000000002,full_february_except_presidents_day,DAY_OF_WEEK
