date,mask_wearing_final
2020-06-02,82.58233287506393
2020-06-03,83.15392772863171
2020-06-04,82.60542614386068
2020-06-05,83.07161261845053
2020-06-06,82.60542614386068
2020-06-07,83.1539277286317
2020-06-08,82.58233287506391
2020-06-09,82.45496364159943
2020-06-10,81.71916517555216
2020-06-11,83.05835918097154
2020-06-12,83.3535541820489
2020-06-13,84.40797595075637
2020-06-14,85.66862006854336
2020-06-15,86.25191051287342
2020-06-16,86.05542359871977
2020-06-17,86.78261102541458
2020-06-18,85.79939794712928
2020-06-19,85.8029479947322
2020-06-20,85.59886636207914
2020-06-21,83.53236143843135
2020-06-22,82.77692204553409
2020-06-23,82.0938009651601
2020-06-24,81.32596907993077
2020-06-25,81.26011715776654
2020-06-26,81.39554577855408
2020-06-27,82.32212330611682
2020-06-28,83.35997434396785
2020-06-29,84.8681435940726
2020-06-30,86.34618462101308
2020-07-01,88.08583380459034
2020-07-02,88.78762261728141
2020-07-03,89.30449603331448
2020-07-04,88.74763160838408
2020-07-05,88.96157225710735
2020-07-06,88.88088371488035
2020-07-07,89.65375242830106
2020-07-08,89.11453535450902
2020-07-09,89.6258381614445
2020-07-10,89.7718326322922
2020-07-11,89.90470862499949
2020-07-12,90.82668067468893
2020-07-13,91.44448642069979
2020-07-14,90.17085740657862
2020-07-15,90.92451680984084
2020-07-16,91.50873502323839
2020-07-17,92.47680936832286
2020-07-18,93.3457366214581
2020-07-19,92.92410963733113
2020-07-20,92.76462898139657
2020-07-21,93.52469236968959
2020-07-22,93.27380689153141
2020-07-23,92.53425441559376
2020-07-24,92.26242725822976
2020-07-25,92.59159118186373
2020-07-26,93.44193131791815
2020-07-27,92.88279924695841
2020-07-28,92.99061918765744
2020-07-29,93.16841757974156
2020-07-30,94.15352282224036
2020-07-31,94.10731053113011
2020-08-01,92.7391228066021
2020-08-02,92.80681157365122
2020-08-03,93.19419876606794
2020-08-04,93.51586258416944
2020-08-05,93.52099102135365
2020-08-06,93.38485264992116
2020-08-07,93.47440273947124
2020-08-08,95.41676508797728
2020-08-09,94.89556158169916
2020-08-10,94.98140716065184
2020-08-11,94.0576784960594
2020-08-12,93.94305767772008
2020-08-13,93.73117805407574
2020-08-14,93.59776938408169
2020-08-15,92.07999151235295
2020-08-16,92.07999151235295
2020-08-17,92.4531582224111
2020-08-18,93.32504271576964
2020-08-19,93.43966353410899
2020-08-20,93.51389612569635
2020-08-21,93.62856996682898
2020-08-22,93.89190110573615
2020-08-23,93.55612576996081
2020-08-24,93.70398520718854
2020-08-25,93.98100471987685
2020-08-26,94.4003602236601
2020-08-27,94.22165693936675
2020-08-28,93.8711213989578
2020-08-29,94.32463613818683
2020-08-30,94.62433643788714
2020-08-31,94.16047786885905
2020-09-01,93.53956283617931
2020-09-02,92.21672912468163
2020-09-03,92.12021546884594
2020-09-04,92.37012684778958
2020-09-05,91.7017893373468
2020-09-06,92.02646466202214
2020-09-07,91.99295872233282
2020-09-08,91.90351700505184
2020-09-09,91.5581689
2020-09-10,92.5865857
2020-09-11,93.4575628
2020-09-12,93.6338181
2020-09-13,93.7507602
2020-09-14,93.9220063
2020-09-15,93.5793787
2020-09-16,94.1793339
2020-09-17,94.020507
2020-09-18,93.5341738
2020-09-19,93.1175666
2020-09-20,92.5782467
2020-09-21,92.3485642
2020-09-22,93.2971711
2020-09-23,93.4855249
2020-09-24,93.0432032
2020-09-25,93.1677557
2020-09-26,93.2672536
2020-09-27,93.8161741
2020-09-28,93.214254
2020-09-29,93.1462518
2020-09-30,92.7052348
2020-10-01,93.0649514
2020-10-02,93.1331323
2020-10-03,93.710545
2020-10-04,93.822477
2020-10-05,94.5637837
2020-10-06,94.2770278
2020-10-07,94.6993449
2020-10-08,94.5685672
2020-10-09,95.0030818
2020-10-10,94.426444
2020-10-11,94.4048416
2020-10-12,93.6669419
2020-10-13,94.3506388
2020-10-14,94.44869
2020-10-15,94.6948544
2020-10-16,93.746087
2020-10-17,94.48693
2020-10-18,94.8300818
2020-10-19,94.7749495
2020-10-20,94.6062006
2020-10-21,94.2155142
2020-10-22,94.606269
2020-10-23,95.7040384
2020-10-24,95.7139478
2020-10-25,95.5254061
2020-10-26,97.0889329
2020-10-27,95.3564033
2020-10-28,95.7621364
2020-10-29,95.5313669
2020-10-30,94.5846785
2020-10-31,94.3099956
2020-11-01,94.4158728
2020-11-02,93.2452256
2020-11-03,94.6305279
2020-11-04,93.2460192
2020-11-05,93.3806037
2020-11-06,94.4596394
2020-11-07,93.1946882
2020-11-08,92.1045177
2020-11-09,93.2324655
2020-11-10,93.0192281
2020-11-11,94.1703081
2020-11-12,93.9501159
2020-11-13,93.6544795
2020-11-14,94.8836999
2020-11-15,95.789464
2020-11-16,95.0763287
2020-11-17,95.4902431
2020-11-18,95.3702376
2020-11-19,95.8076509
2020-11-20,95.5149281
2020-11-21,95.1833415
2020-11-22,95.2383187
2020-11-23,95.803603
2020-11-24,95.5460644
2020-11-25,95.9352461
2020-11-26,95.8360827
2020-11-27,95.7671421
2020-11-28,96.3646455
2020-11-29,96.5827023
2020-11-30,96.3337793
2020-12-01,96.5783526
2020-12-02,95.4887022
2020-12-03,94.8059483
2020-12-04,95.3064733
2020-12-05,95.1390619
2020-12-06,94.9339848
2020-12-07,94.8501243
2020-12-08,94.9383091
2020-12-09,96.0703213
2020-12-10,96.9077228
2020-12-11,96.8547886
2020-12-12,97.2339525
2020-12-13,97.1435827
2020-12-14,97.0100727
2020-12-15,96.8368619
2020-12-16,96.9215972
2020-12-17,96.7609984
2020-12-18,97.1362672
2020-12-19,97.0347284
2020-12-20,97.0305019
2020-12-21,97.8736308
2020-12-22,97.7245182
2020-12-23,97.4636409
2020-12-24,97.4276961
2020-12-25,97.2311012
2020-12-26,96.6922676
2020-12-27,96.6607543
2020-12-28,96.4051799
2020-12-29,96.7262166
2020-12-30,96.8681259
2020-12-31,96.9755003
2021-01-01,97.1067126
2021-01-02,97.822009
2021-01-03,97.640368
2021-01-04,97.5609693
2021-01-05,97.2627273
2021-01-06,97.2657262
2021-01-07,96.7311027
2021-01-08,96.4872596
2021-01-09,96.3568578
2021-01-10,96.669559
2021-01-11,96.3885593
2021-01-12,96.7440533
2021-01-13,96.7984509
2021-01-14,97.1531645
2021-01-15,97.1106006
2021-01-16,97.2168689
2021-01-17,97.0819619
2021-01-18,97.3302171
2021-01-19,96.9322758
2021-01-20,96.608551
2021-01-21,96.5744642
2021-01-22,96.727903800000007
2021-01-23,96.535419
2021-01-24,97.017767
2021-01-25,97.3426979
2021-01-26,97.5213517
2021-01-27,97.6654401
2021-01-28,97.656469
2021-01-29,97.3972018
2021-01-30,96.9454844
2021-01-31,96.3428181
2021-02-01,96.3526032
2021-02-02,96.4871109
2021-02-03,96.5838689
2021-02-04,96.9892932
2021-02-05,96.7416642
2021-02-06,97.0658939
2021-02-07,96.9039851
2021-02-08,95.6692124
2021-02-09,95.2455807
2021-02-10,95.0155834
2021-02-11,96.3741874
2021-02-12,96.6263901
2021-02-13,95.8491381
2021-02-14,96.1129423
2021-02-15,96.2830623
2021-02-16,96.282627
2021-02-17,96.7914532
2021-02-18,96.4374989
2021-02-19,95.8412153
2021-02-20,96.5878199
2021-02-21,96.5445373
2021-02-22,96.0438164
2021-02-23,96.0476422
2021-02-24,96.3175833
2021-02-25,95.9607569
2021-02-26,96.4837514
2021-02-27,96.4219111
2021-02-28,96.7427497
2021-03-01,97.3426189
2021-03-02,97.0419679
2021-03-03,96.4603767
2021-03-04,96.5339933
2021-03-05,96.3551721
2021-03-06,96.577964
2021-03-07,96.3549213
2021-03-08,96.3357614
2021-03-09,96.0024093
2021-03-10,96.3718628
2021-03-11,96.4337756
2021-03-12,96.8219812
2021-03-13,96.5745044
2021-03-14,96.3139669
2021-03-15,95.7803731
2021-03-16,96.8185712
2021-03-17,96.6192543
2021-03-18,96.7892929
2021-03-19,96.746922
2021-03-20,96.7810327
2021-03-21,96.6262564
2021-03-22,96.7799759
2021-03-23,96.2759628
2021-03-24,96.5447224
2021-03-25,96.6551545
2021-03-26,96.1262595
2021-03-27,96.0253261
2021-03-28,96.2869565
2021-03-29,96.2605844
2021-03-30,96.3890653
2021-03-31,96.1452131
2021-04-01,96.2654517
2021-04-02,96.752682
2021-04-03,96.5339188
2021-04-04,95.9615493
2021-04-05,96.1239376
2021-04-06,96.4819497
2021-04-07,96.3053808
2021-04-08,96.3702621
2021-04-09,96.2173748
2021-04-10,96.051844
2021-04-11,95.8064695
2021-04-12,95.7568079
2021-04-13,95.4107695
2021-04-14,95.5001334
2021-04-15,95.1805276
2021-04-16,94.399303
2021-04-17,95.0444957
