"group","tag","level","date","lower","upper","median","organism"
"Seattle","90% CI",90,2018-11-14,NA,NA,NA,"RSV A"
"Seattle","90% CI",90,2018-11-15,NA,NA,NA,"RSV A"
"Seattle","90% CI",90,2018-11-16,NA,NA,NA,"RSV A"
"Seattle","90% CI",90,2018-11-17,NA,NA,NA,"RSV A"
"Seattle","90% CI",90,2018-11-18,NA,NA,NA,"RSV A"
"Seattle","90% CI",90,2018-11-19,NA,NA,NA,"RSV A"
"Seattle","90% CI",90,2018-11-20,NA,NA,NA,"RSV A"
"Seattle","90% CI",90,2018-11-21,1.93793825364573,3.01080431063629,2.40512122854483,"RSV A"
"Seattle","90% CI",90,2018-11-22,1.94429231617991,3.00258177533121,2.40540034211747,"RSV A"
"Seattle","90% CI",90,2018-11-23,1.94897037057291,2.98929869202469,2.40297967310163,"RSV A"
"Seattle","90% CI",90,2018-11-24,1.95195585392591,2.97221953541337,2.39779982793607,"RSV A"
"Seattle","90% CI",90,2018-11-25,1.95292090237154,2.95109529998505,2.38982619197396,"RSV A"
"Seattle","90% CI",90,2018-11-26,1.95184254480029,2.92590130461122,2.37885775848828,"RSV A"
"Seattle","90% CI",90,2018-11-27,1.94836516506205,2.89612544960327,2.36470841755339,"RSV A"
"Seattle","90% CI",90,2018-11-28,1.94206102662056,2.86165262145477,2.34707395027828,"RSV A"
"Seattle","90% CI",90,2018-11-29,1.93265664612389,2.82272097159677,2.32597223278199,"RSV A"
"Seattle","90% CI",90,2018-11-30,1.92051371768315,2.78020266366491,2.30163742052711,"RSV A"
"Seattle","90% CI",90,2018-12-01,1.90581762074504,2.73479660370749,2.27446919084921,"RSV A"
"Seattle","90% CI",90,2018-12-02,1.88874805048743,2.68689214712354,2.24478073633486,"RSV A"
"Seattle","90% CI",90,2018-12-03,1.86957942890728,2.637358752326,2.21320303155067,"RSV A"
"Seattle","90% CI",90,2018-12-04,1.84858690437357,2.58633814425095,2.1800143942483,"RSV A"
"Seattle","90% CI",90,2018-12-05,1.82618105646424,2.53461346695363,2.14566164272378,"RSV A"
"Seattle","90% CI",90,2018-12-06,1.80221206885313,2.48262999351531,2.11030591719197,"RSV A"
"Seattle","90% CI",90,2018-12-07,1.77697997143704,2.43028163196813,2.07392741829252,"RSV A"
"Seattle","90% CI",90,2018-12-08,1.75041853577902,2.37831263392866,2.03646902615579,"RSV A"
"Seattle","90% CI",90,2018-12-09,1.72230867175438,2.32578861547221,1.99799309389497,"RSV A"
"Seattle","90% CI",90,2018-12-10,1.69288864231125,2.27242891716256,1.9584837754363,"RSV A"
"Seattle","90% CI",90,2018-12-11,1.66214589747519,2.21862414659952,1.91819446803533,"RSV A"
"Seattle","90% CI",90,2018-12-12,1.63045521132244,2.16514795929066,1.87735659826528,"RSV A"
"Seattle","90% CI",90,2018-12-13,1.59828815706256,2.11238354597086,1.83651941071629,"RSV A"
"Seattle","90% CI",90,2018-12-14,1.56618839385098,2.06091497698758,1.79612493452185,"RSV A"
"Seattle","90% CI",90,2018-12-15,1.53421875685277,2.01120520498124,1.75668595976528,"RSV A"
"Seattle","90% CI",90,2018-12-16,1.50281311464399,1.9636417862047,1.71846894610303,"RSV A"
"Seattle","90% CI",90,2018-12-17,1.4721905507165,1.91834896777812,1.68171607531207,"RSV A"
"Seattle","90% CI",90,2018-12-18,1.44267309725834,1.87542180315257,1.64657487462018,"RSV A"
"Seattle","90% CI",90,2018-12-19,1.41445966252569,1.83504587548866,1.61329711273812,"RSV A"
"Seattle","90% CI",90,2018-12-20,1.38796683307381,1.79711057404311,1.58209099603585,"RSV A"
"Seattle","90% CI",90,2018-12-21,1.36342187795786,1.76205729399434,1.55310083366516,"RSV A"
"Seattle","90% CI",90,2018-12-22,1.34103908165525,1.73023480293141,1.52666252283896,"RSV A"
"Seattle","90% CI",90,2018-12-23,1.32116274427173,1.70163481447699,1.50308182285908,"RSV A"
"Seattle","90% CI",90,2018-12-24,1.30399187598538,1.67669417699107,1.48251052762147,"RSV A"
"Seattle","90% CI",90,2018-12-25,1.28950382281657,1.6556145032279,1.46506497996387,"RSV A"
"Seattle","90% CI",90,2018-12-26,1.2778404927346,1.63823066679678,1.45079508174091,"RSV A"
"Seattle","90% CI",90,2018-12-27,1.26881207126033,1.62439217024635,1.43955546464733,"RSV A"
"Seattle","90% CI",90,2018-12-28,1.26234822663617,1.6138097340846,1.43112471975132,"RSV A"
"Seattle","90% CI",90,2018-12-29,1.258351595281,1.60651476230099,1.42541676965946,"RSV A"
"Seattle","90% CI",90,2018-12-30,1.25670105320457,1.60191313084962,1.42221385927824,"RSV A"
"Seattle","90% CI",90,2018-12-31,1.25730696308129,1.60005144617173,1.42137434191176,"RSV A"
"Seattle","90% CI",90,2019-01-01,1.25990362530348,1.60081091071161,1.42264680110705,"RSV A"
"Seattle","90% CI",90,2019-01-02,1.26399816841675,1.60343258014295,1.42572162888388,"RSV A"
"Seattle","90% CI",90,2019-01-03,1.26943538954769,1.6076809409424,1.43015987815517,"RSV A"
"Seattle","90% CI",90,2019-01-04,1.2755289810904,1.61304603710456,1.43538935566731,"RSV A"
"Seattle","90% CI",90,2019-01-05,1.28170316375699,1.6188720705521,1.44089107826132,"RSV A"
"Seattle","90% CI",90,2019-01-06,1.28744547903123,1.62433915222131,1.44606286675416,"RSV A"
"Seattle","90% CI",90,2019-01-07,1.29225364153682,1.6289444910552,1.45034418849892,"RSV A"
"Seattle","90% CI",90,2019-01-08,1.29558767690853,1.63198874375971,1.45318389651346,"RSV A"
"Seattle","90% CI",90,2019-01-09,1.29725963079875,1.63286427899744,1.45421019463183,"RSV A"
"Seattle","90% CI",90,2019-01-10,1.29705758902545,1.63129038661921,1.45306020076244,"RSV A"
"Seattle","90% CI",90,2019-01-11,1.29472042156801,1.62708515064874,1.44953839620742,"RSV A"
"Seattle","90% CI",90,2019-01-12,1.28996214506061,1.61996277708535,1.44342105632095,"RSV A"
"Seattle","90% CI",90,2019-01-13,1.28267864798686,1.60953935097919,1.4345258823665,"RSV A"
