date,DailyAverageWetBulbTemperature,DailyAverageRelativeHumidity,DailyPrecipitation
2018-01-01,34,80,0
2018-01-02,36,76,0
2018-01-03,37,78,0
2018-01-04,41,85,0.13
2018-01-05,46,89,0.51
2018-01-06,43,88,0.17
2018-01-07,43,92,0.33
2018-01-08,45,94,0.16
2018-01-09,44,92,0.18
2018-01-10,41,83,0.17
2018-01-11,46,94,1.12
2018-01-12,48,89,0.1
2018-01-13,49,90,0.01
2018-01-14,45,87,0
2018-01-15,46,69,0.06
2018-01-16,46,76,0.19
2018-01-17,46,75,0.43
2018-01-18,42,83,0.4
2018-01-19,40,77,0.03
2018-01-20,41,78,0.08
2018-01-21,43,70,0.11
2018-01-22,40,83,0.36
2018-01-23,41,83,0.88
2018-01-24,44,86,0.44
2018-01-25,38,83,0.15
2018-01-26,39,90,0.41
2018-01-27,43,85,0.55
2018-01-28,48,89,0.06
2018-01-29,45,85,1.09
2018-01-30,40,78,0
2018-01-31,40,76,0
2018-02-01,43,85,0.57
2018-02-02,48,90,0.08
2018-02-03,48,91,0.14
2018-02-04,49,86,0.01
2018-02-05,45,84,0.03
2018-02-06,45,88,0.05
2018-02-07,47,81,0
2018-02-08,46,82,0.05
2018-02-09,41,80,0
2018-02-10,35,67,0
2018-02-11,35,72,0
2018-02-12,32,51,0
2018-02-13,34,62,0.14
2018-02-14,38,86,0.1
2018-02-15,38,82,0.01
2018-02-16,43,90,0.11
2018-02-17,42,82,0.3
2018-02-18,31,69,0.06
2018-02-19,26,46,0
2018-02-20,28,66,0
2018-02-21,27,69,0.06
2018-02-22,28,65,0
2018-02-23,29,75,0.03
2018-02-24,37,76,0.06
2018-02-25,38,82,0.2
2018-02-26,35,73,0
2018-02-27,39,78,0.01
2018-02-28,40,76,0.15
2018-03-01,39,70,0.03
2018-03-02,38,80,0.18
2018-03-03,38,72,0
2018-03-04,38,82,0.13
2018-03-05,39,76,0
2018-03-06,39,64,0
2018-03-07,39,70,0.04
2018-03-08,44,85,0.35
2018-03-09,40,68,0
2018-03-10,40,60,0
2018-03-11,44,54,0
2018-03-12,48,42,0
2018-03-13,47,67,0.27
2018-03-14,42,72,0.03
2018-03-15,39,57,0
2018-03-16,42,62,0
2018-03-17,41,74,0
2018-03-18,42,68,0
2018-03-19,41,70,0
2018-03-20,41,68,0
2018-03-21,43,68,0.1
2018-03-22,41,83,0.46
2018-03-23,38,76,0.35
2018-03-24,38,75,0.23
2018-03-25,39,69,0.04
2018-03-26,42,85,0.15
2018-03-27,46,83,0.08
2018-03-28,43,73,0
2018-03-29,44,72,0
2018-03-30,47,75,0
2018-03-31,45,68,0
2018-04-01,40,72,0
2018-04-02,39,64,0
2018-04-03,40,58,0
2018-04-04,44,87,0.29
2018-04-05,49,90,0.21
2018-04-06,53,74,0.05
2018-04-07,49,82,0.82
2018-04-08,46,88,0.39
2018-04-09,47,66,0
2018-04-10,47,69,0.18
2018-04-11,44,73,0.21
2018-04-12,42,78,0.11
2018-04-13,46,87,0.66
2018-04-14,47,92,1.7
2018-04-15,44,83,0.12
2018-04-16,43,88,0.59
2018-04-17,43,71,0.01
2018-04-18,45,67,0
2018-04-19,46,60,0
2018-04-20,45,57,0
2018-04-21,44,64,0.03
2018-04-22,44,63,0
2018-04-23,47,50,0
2018-04-24,51,39,0
2018-04-25,52,46,0
2018-04-26,54,47,0
2018-04-27,49,82,0.01
2018-04-28,48,86,0.31
2018-04-29,48,73,0
2018-04-30,47,71,0
2018-05-01,49,72,0
2018-05-02,51,65,0
2018-05-03,53,65,0
2018-05-04,50,66,0
2018-05-05,54,71,0.01
2018-05-06,56,71,0
2018-05-07,54,72,0
2018-05-08,56,70,0.03
2018-05-09,53,71,0
