date,Primary J&J/Janssen dose,Primary mRNA dose 1,Primary mRNA dose 2,First original booster dose,Second original booster dose,First 2022 bivalent dose,First 2023 updated dose,Unknown/Other,Population,At_least_one_dose,Cumulative_one_dose,Two_doses,Cumulative_Full_Vax,Perc_Full_Vax
12/12/2020,0,15,0,0,0,0,0,8,2260800,15,15,0,0,0
12/13/2020,0,3,0,0,0,0,0,0,2260800,3,18,0,0,0
12/14/2020,0,3,0,0,0,0,0,2,2260800,3,21,0,0,0
12/15/2020,0,28,0,0,0,0,0,4,2260800,28,49,0,0,0
12/16/2020,0,704,0,0,0,0,0,1,2260800,704,753,0,0,0
12/17/2020,0,1039,0,0,0,0,0,3,2260800,1039,1792,0,0,0
12/18/2020,0,3644,0,0,0,0,0,1,2260800,3644,5436,0,0,0
12/19/2020,0,2560,0,0,0,0,0,0,2260800,2560,7996,0,0,0
12/20/2020,0,2004,0,0,0,0,0,1,2260800,2004,10000,0,0,0
12/21/2020,0,1561,0,0,0,0,0,3,2260800,1561,11561,0,0,0
12/22/2020,0,1795,0,0,0,0,0,2,2260800,1795,13356,0,0,0
12/23/2020,0,2238,0,0,0,0,0,2,2260800,2238,15594,0,0,0
12/24/2020,0,2089,0,0,0,0,0,5,2260800,2089,17683,0,0,0
12/25/2020,0,196,0,0,0,0,0,0,2260800,196,17879,0,0,0
12/26/2020,0,2812,0,0,0,0,0,1,2260800,2812,20691,0,0,0
12/27/2020,0,2683,0,0,0,0,0,0,2260800,2683,23374,0,0,0
12/28/2020,0,3066,0,0,0,0,0,4,2260800,3066,26440,0,0,0
12/29/2020,0,4395,0,0,0,0,0,1,2260800,4395,30835,0,0,0
12/30/2020,0,4535,0,0,0,0,0,4,2260800,4535,35370,0,0,0
12/31/2020,0,3026,1,0,0,0,0,5,2260800,3026,38396,1,1,4.42321E-05
1/1/2021,0,897,0,0,0,0,0,10,2260800,897,39293,0,1,4.42321E-05
1/2/2021,0,3821,15,0,0,0,0,4,2260800,3821,43114,15,16,0.000707714
1/3/2021,0,2505,21,0,0,0,0,1,2260800,2505,45619,21,37,0.001636589
1/4/2021,0,2931,547,0,0,0,0,7,2260800,2931,48550,547,584,0.025831564
1/5/2021,0,2882,736,0,0,0,0,7,2260800,2882,51432,736,1320,0.058386412
1/6/2021,0,3878,1492,0,0,0,0,6,2260800,3878,55310,1492,2812,0.12438075
1/7/2021,0,4029,1535,0,0,0,0,7,2260800,4029,59339,1535,4347,0.19227707
1/8/2021,0,5049,2268,0,0,0,0,10,2260800,5049,64388,2268,6615,0.292595541
1/9/2021,0,3558,2072,0,0,0,0,7,2260800,3558,67946,2072,8687,0.384244515
1/10/2021,0,2801,1418,0,0,0,0,5,2260800,2801,70747,1418,10105,0.446965676
1/11/2021,0,3576,1376,0,0,0,0,8,2260800,3576,74323,1376,11481,0.507829087
1/12/2021,0,4701,1480,0,0,0,0,12,2260800,4701,79024,1480,12961,0.57329264
1/13/2021,0,4847,1412,0,0,0,0,7,2260800,4847,83871,1412,14373,0.635748408
1/14/2021,0,5809,1782,0,0,0,0,16,2260800,5809,89680,1782,16155,0.714570064
1/15/2021,0,5733,1777,0,0,0,0,8,2260800,5733,95413,1777,17932,0.793170559
1/16/2021,0,6999,1402,0,0,0,0,3,2260800,6999,102412,1402,19334,0.855184006
1/17/2021,0,3306,1210,0,0,0,0,1,2260800,3306,105718,1210,20544,0.908704883
1/18/2021,0,5071,1229,0,0,0,0,9,2260800,5071,110789,1229,21773,0.963066171
1/19/2021,0,7878,1336,0,0,0,0,11,2260800,7878,118667,1336,23109,1.022160297
1/20/2021,0,8922,2241,0,0,0,0,10,2260800,8922,127589,2241,25350,1.121284501
1/21/2021,0,9741,1854,0,0,0,0,16,2260800,9741,137330,1854,27204,1.20329087
1/22/2021,0,9514,2044,0,0,0,0,10,2260800,9514,146844,2044,29248,1.293701345
1/23/2021,0,9504,2038,0,0,0,0,8,2260800,9504,156348,2038,31286,1.383846426
1/24/2021,0,7873,1454,0,0,0,0,3,2260800,7873,164221,1454,32740,1.448159943
1/25/2021,0,8523,2092,0,0,0,0,8,2260800,8523,172744,2092,34832,1.54069356
1/26/2021,0,9321,3826,0,0,0,0,4,2260800,9321,182065,3826,38658,1.70992569
1/27/2021,0,6716,3361,0,0,0,0,12,2260800,6716,188781,3361,42019,1.85858988
1/28/2021,0,7622,2949,0,0,0,0,9,2260800,7622,196403,2949,44968,1.989030432
1/29/2021,0,8284,3324,0,0,0,0,20,2260800,8284,204687,3324,48292,2.136058033
1/30/2021,0,7360,3994,0,0,0,0,6,2260800,7360,212047,3994,52286,2.312721161
1/31/2021,0,6576,2581,0,0,0,0,4,2260800,6576,218623,2581,54867,2.426884289
2/1/2021,0,5388,2718,0,0,0,0,17,2260800,5388,224011,2718,57585,2.547107219
2/2/2021,0,6883,3050,0,0,0,0,14,2260800,6883,230894,3050,60635,2.682015216
2/3/2021,0,7056,3910,0,0,0,0,16,2260800,7056,237950,3910,64545,2.854962845
2/4/2021,0,6735,4430,0,0,0,0,11,2260800,6735,244685,4430,68975,3.050911182
2/5/2021,0,6538,4059,0,0,0,0,20,2260800,6538,251223,4059,73034,3.230449398
2/6/2021,0,6344,3635,0,0,0,0,11,2260800,6344,257567,3635,76669,3.391233192
2/7/2021,0,1419,2496,0,0,0,0,3,2260800,1419,258986,2496,79165,3.501636589
2/8/2021,0,4350,5167,0,0,0,0,15,2260800,4350,263336,5167,84332,3.730184006
2/9/2021,0,5920,5612,0,0,0,0,12,2260800,5920,269256,5612,89944,3.97841472
2/10/2021,0,6263,6407,0,0,0,0,13,2260800,6263,275519,6407,96351,4.261809979
2/11/2021,0,7127,6189,0,0,0,0,9,2260800,7127,282646,6189,102540,4.535562633
2/12/2021,0,6345,7268,0,0,0,0,14,2260800,6345,288991,7268,109808,4.857041755
2/13/2021,0,1648,1864,0,0,0,0,6,2260800,1648,290639,1864,111672,4.939490446
2/14/2021,0,1006,1365,0,0,0,0,4,2260800,1006,291645,1365,113037,4.999867304
2/15/2021,0,4410,9738,0,0,0,0,12,2260800,4410,296055,9738,122775,5.430599788
2/16/2021,0,6031,7302,0,0,0,0,13,2260800,6031,302086,7302,130077,5.753582803
2/17/2021,0,5452,8319,0,0,0,0,15,2260800,5452,307538,8319,138396,6.121549894
2/18/2021,0,4948,7749,0,0,0,0,10,2260800,4948,312486,7749,146145,6.464304671
2/19/2021,0,4450,6048,0,0,0,0,14,2260800,4450,316936,6048,152193,6.731820594
2/20/2021,0,3751,8491,0,0,0,0,9,2260800,3751,320687,8491,160684,7.107395612
2/21/2021,0,1877,4418,0,0,0,0,2,2260800,1877,322564,4418,165102,7.302813163
2/22/2021,0,2164,2979,0,0,0,0,17,2260800,2164,324728,2979,168081,7.434580679
2/23/2021,0,4679,8000,0,0,0,0,12,2260800,4679,329407,8000,176081,7.788437721
2/24/2021,0,5635,7750,0,0,0,0,24,2260800,5635,335042,7750,183831,8.13123673
2/25/2021,0,7769,8816,0,0,0,0,6,2260800,7769,342811,8816,192647,8.52118719
2/26/2021,0,8211,10560,0,0,0,0,19,2260800,8211,351022,10560,203207,8.988278485
2/27/2021,4,10540,10033,0,0,0,0,13,2260800,10544,361566,10037,213244,9.432236377
2/28/2021,4,5990,5208,0,0,0,0,7,2260800,5994,367560,5212,218456,9.662774239
3/1/2021,22,7735,5657,0,0,0,0,21,2260800,7757,375317,5679,224135,9.913968507
3/2/2021,2,11025,5938,0,0,0,0,29,2260800,11027,386344,5940,230075,10.17670736
3/3/2021,12,10542,7868,0,0,0,0,23,2260800,10554,396898,7880,237955,10.52525655
3/4/2021,15,10748,6640,0,0,0,0,27,2260800,10763,407661,6655,244610,10.81962137
3/5/2021,142,12374,6438,0,0,0,0,18,2260800,12516,420177,6580,251190,11.11066879
3/6/2021,774,14538,5803,0,0,0,0,29,2260800,15312,435489,6577,257767,11.40158351
3/7/2021,28,10303,1129,0,0,0,0,14,2260800,10331,445820,1157,258924,11.45276008
3/8/2021,746,6129,4341,0,0,0,0,22,2260800,6875,452695,5087,264011,11.67776893
3/9/2021,416,10752,5295,0,0,0,0,11,2260800,11168,463863,5711,269722,11.93037863
3/10/2021,787,10773,5337,0,0,0,0,12,2260800,11560,475423,6124,275846,12.20125619
3/11/2021,920,10794,6946,0,0,0,0,23,2260800,11714,487137,7866,283712,12.54918613
3/12/2021,1050,10869,6261,0,0,0,0,16,2260800,11919,499056,7311,291023,12.87256723
3/13/2021,3619,16065,4627,0,0,0,0,20,2260800,19684,518740,8246,299269,13.23730538
3/14/2021,4451,3645,1778,0,0,0,0,2,2260800,8096,526836,6229,305498,13.51282732
3/15/2021,612,7930,3929,0,0,0,0,20,2260800,8542,535378,4541,310039,13.71368542
3/16/2021,698,11096,5633,0,0,0,0,18,2260800,11794,547172,6331,316370,13.99371904
3/17/2021,924,13105,6771,0,0,0,0,22,2260800,14029,561201,7695,324065,14.33408528
3/18/2021,398,14005,6262,0,0,0,0,18,2260800,14403,575604,6660,330725,14.62867127
3/19/2021,451,14201,6321,0,0,0,0,13,2260800,14652,590256,6772,337497,14.92821125
3/20/2021,598,17529,6381,0,0,0,0,18,2260800,18127,608383,6979,344476,15.23690729
3/21/2021,878,8037,3808,0,0,0,0,5,2260800,8915,617298,4686,349162,15.44417905
3/22/2021,539,9418,3665,0,0,0,0,15,2260800,9957,627255,4204,353366,15.63013093
3/23/2021,195,12230,7337,0,0,0,0,13,2260800,12425,639680,7532,360898,15.96328733
3/24/2021,162,17448,8093,0,0,0,0,22,2260800,17610,657290,8255,369153,16.32842357
3/25/2021,184,15415,10271,0,0,0,0,20,2260800,15599,672889,10455,379608,16.79087049
3/26/2021,510,15138,11740,0,0,0,0,14,2260800,15648,688537,12250,391858,17.33271408
3/27/2021,851,15790,13118,0,0,0,0,7,2260800,16641,705178,13969,405827,17.95059271
3/28/2021,503,6202,9666,0,0,0,0,14,2260800,6705,711883,10169,415996,18.40038924
3/29/2021,299,9090,7106,0,0,0,0,8,2260800,9389,721272,7405,423401,18.72792817
3/30/2021,352,12722,10561,0,0,0,0,23,2260800,13074,734346,10913,434314,19.2106334
3/31/2021,1302,19275,14144,2,0,0,0,17,2260800,20577,754923,15446,449760,19.89384289
4/1/2021,1905,17469,12056,0,0,0,0,29,2260800,19374,774297,13961,463721,20.51136766
4/2/2021,3511,16558,12115,0,0,0,0,20,2260800,20069,794366,15626,479347,21.20253892
4/3/2021,3865,14847,16470,1,0,0,0,18,2260800,18712,813078,20335,499682,22.10199929
4/4/2021,252,4611,3407,0,0,0,0,9,2260800,4863,817941,3659,503341,22.26384466
4/5/2021,3339,13009,6258,0,0,0,0,23,2260800,16348,834289,9597,512938,22.68834041
4/6/2021,4100,17249,9785,0,0,0,0,34,2260800,21349,855638,13885,526823,23.30250354
4/7/2021,4364,23564,11675,3,0,0,0,30,2260800,27928,883566,16039,542862,24.01194268
4/8/2021,5771,14865,9487,3,0,0,0,38,2260800,20636,904202,15258,558120,24.68683652
4/9/2021,4618,16863,10666,2,0,0,0,30,2260800,21481,925683,15284,573404,25.3628804
4/10/2021,4529,18012,15698,1,0,0,0,19,2260800,22541,948224,20227,593631,26.25756369
4/11/2021,1078,8140,4043,0,0,0,0,14,2260800,9218,957442,5121,598752,26.48407643
4/12/2021,3968,10342,6924,2,0,0,0,23,2260800,14310,971752,10892,609644,26.9658528
4/13/2021,23,14386,11582,5,0,0,0,35,2260800,14409,986161,11605,621249,27.47916667
4/14/2021,31,14143,14743,1,0,0,0,22,2260800,14174,1000335,14774,636023,28.13265216
4/15/2021,53,18459,13253,1,0,0,0,19,2260800,18512,1018847,13306,649329,28.72120488
4/16/2021,6,21373,14728,1,0,0,0,16,2260800,21379,1040226,14734,664063,29.37292109
4/17/2021,2,21184,15967,2,0,0,0,21,2260800,21186,1061412,15969,680032,30.07926398
4/18/2021,1,11663,4695,3,0,0,0,18,2260800,11664,1073076,4696,684728,30.28697806
4/19/2021,3,13244,9575,3,0,0,0,17,2260800,13247,1086323,9578,694306,30.7106334
4/20/2021,9,17546,10877,5,0,0,0,25,2260800,17555,1103878,10886,705192,31.19214437
4/21/2021,7,19008,18566,3,0,0,0,35,2260800,19015,1122893,18573,723765,32.01366773
4/22/2021,10,16569,16105,4,0,0,0,37,2260800,16579,1139472,16115,739880,32.72646851
4/23/2021,2,15503,17245,3,0,0,0,27,2260800,15505,1154977,17247,757127,33.48934006
4/24/2021,66,25916,16514,2,0,0,0,13,2260800,25982,1180959,16580,773707,34.22270878
4/25/2021,50,10857,7345,1,0,0,0,5,2260800,10907,1191866,7395,781102,34.54980538
4/26/2021,114,12061,11495,2,0,0,0,35,2260800,12175,1204041,11609,792711,35.06329618
4/27/2021,321,15380,15510,3,0,0,0,32,2260800,15701,1219742,15831,808542,35.76353503
4/28/2021,317,14739,21529,9,0,0,0,43,2260800,15056,1234798,21846,830388,36.72983015
4/29/2021,519,14014,14014,6,0,0,0,22,2260800,14533,1249331,14533,844921,37.3726557
4/30/2021,402,16127,19116,17,0,0,0,42,2260800,16529,1265860,19518,864439,38.23597841
5/1/2021,502,14321,17509,7,2,0,0,36,2260800,14823,1280683,18011,882450,39.03264331
5/2/2021,356,4730,4960,0,0,0,0,17,2260800,5086,1285769,5316,887766,39.26778132
5/3/2021,486,8140,11452,4,0,0,0,27,2260800,8626,1294395,11938,899704,39.79582449
5/4/2021,1086,8809,12997,7,1,0,0,25,2260800,9895,1304290,14083,913787,40.41874558
5/5/2021,959,8835,14664,9,2,0,0,40,2260800,9794,1314084,15623,929410,41.10978415
5/6/2021,1082,8300,17504,4,0,0,0,42,2260800,9382,1323466,18586,947996,41.93188252
5/7/2021,898,7389,19013,9,0,0,0,24,2260800,8287,1331753,19911,967907,42.81258846
5/8/2021,744,5775,23070,10,2,0,0,23,2260800,6519,1338272,23814,991721,43.86593241
5/9/2021,99,1511,7711,3,0,0,0,11,2260800,1610,1339882,7810,999531,44.21138535
5/10/2021,490,4706,12411,6,3,0,0,24,2260800,5196,1345078,12901,1012432,44.78202406
5/11/2021,725,5045,16712,8,1,0,0,29,2260800,5770,1350848,17437,1029869,45.55329972
5/12/2021,636,5347,16309,8,1,0,0,25,2260800,5983,1356831,16945,1046814,46.30281316
5/13/2021,630,9243,15903,11,0,0,0,23,2260800,9873,1366704,16533,1063347,47.03410297
5/14/2021,680,10741,19530,5,1,0,0,30,2260800,11421,1378125,20210,1083557,47.92803432
5/15/2021,920,11736,24794,21,1,0,0,25,2260800,12656,1390781,25714,1109271,49.06541932
5/16/2021,271,3884,9560,6,1,0,0,8,2260800,4155,1394936,9831,1119102,49.50026539
5/17/2021,638,8907,14050,7,1,0,0,29,2260800,9545,1404481,14688,1133790,50.14994692
5/18/2021,850,8715,15900,13,3,0,0,24,2260800,9565,1414046,16750,1150540,50.8908351
5/19/2021,864,9466,15902,11,2,0,0,24,2260800,10330,1424376,16766,1167306,51.632431
5/20/2021,704,7990,14999,10,1,0,0,24,2260800,8694,1433070,15703,1183009,52.32700814
5/21/2021,680,8890,16117,13,1,0,0,24,2260800,9570,1442640,16797,1199806,53.06997523
5/22/2021,708,8633,18216,16,3,0,0,19,2260800,9341,1451981,18924,1218730,53.90702406
5/23/2021,162,3412,2781,7,2,0,0,14,2260800,3574,1455555,2943,1221673,54.03719922
5/24/2021,445,5422,10171,10,2,0,0,37,2260800,5867,1461422,10616,1232289,54.50676752
5/25/2021,623,5334,10890,22,4,0,0,32,2260800,5957,1467379,11513,1243802,55.01601203
5/26/2021,426,4825,11399,9,2,0,0,29,2260800,5251,1472630,11825,1255627,55.53905697
5/27/2021,447,4153,10815,13,4,0,0,37,2260800,4600,1477230,11262,1266889,56.03719922
5/28/2021,610,4496,12382,18,1,0,0,30,2260800,5106,1482336,12992,1279881,56.61186306
5/29/2021,444,2566,5820,4,3,0,0,26,2260800,3010,1485346,6264,1286145,56.88893312
5/30/2021,136,1106,1549,3,1,0,0,17,2260800,1242,1486588,1685,1287830,56.96346426
5/31/2021,108,582,2152,39,1,0,0,18,2260800,690,1487278,2260,1290090,57.06342887
6/1/2021,451,3224,8312,17,3,0,0,27,2260800,3675,1490953,8763,1298853,57.45103503
6/2/2021,397,2767,6557,11,4,0,0,24,2260800,3164,1494117,6954,1305807,57.75862527
6/3/2021,456,2565,8501,8,2,0,0,32,2260800,3021,1497138,8957,1314764,58.15481246
6/4/2021,476,3286,11620,18,3,0,0,25,2260800,3762,1500900,12096,1326860,58.6898443
6/5/2021,358,2456,12163,15,3,0,0,23,2260800,2814,1503714,12521,1339381,59.24367481
6/6/2021,143,1022,3232,6,1,0,0,8,2260800,1165,1504879,3375,1342756,59.39295824
6/7/2021,376,2356,7828,13,2,0,0,28,2260800,2732,1507611,8204,1350960,59.75583864
6/8/2021,443,2234,8938,19,1,0,0,22,2260800,2677,1510288,9381,1360341,60.17078025
6/9/2021,388,2374,9452,18,4,0,0,24,2260800,2762,1513050,9840,1370181,60.60602442
6/10/2021,424,2339,8370,13,1,0,0,36,2260800,2763,1515813,8794,1378975,60.99500177
6/11/2021,425,2557,7843,14,4,0,0,29,2260800,2982,1518795,8268,1387243,61.36071302
6/12/2021,410,1817,8210,13,4,0,0,16,2260800,2227,1521022,8620,1395863,61.74199398
6/13/2021,112,544,3276,4,2,0,0,5,2260800,656,1521678,3388,1399251,61.89185244
6/14/2021,245,2028,6352,21,2,0,0,25,2260800,2273,1523951,6597,1405848,62.1836518
6/15/2021,450,2055,5851,15,3,0,0,19,2260800,2505,1526456,6301,1412149,62.46235846
6/16/2021,311,2076,5258,18,1,0,0,21,2260800,2387,1528843,5569,1417718,62.70868719
