strain,date,region,country,division,location,region_exposure,country_exposure,division_exposure,host,Nextstrain_clade,pango_lineage,clade_nextstrain,clade_who,Nextclade_pango,originating_lab,submitting_lab
USA/CA-SEARCH-18248/2020,2020-12-02,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20G,B.1.2,20G,,B.1.2,EXCITE Lab,Andersen lab at Scripps Research
USA/CT-Yale-8961/2021,2021-08-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),AY.44,21J,Delta,AY.44,Yale Clinical Virology Lab,Grubaugh Lab - Yale School of Public Health
USA/ID-BVAMC-741584/2021,2021-07-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),AY.20,21J,Delta,AY.20,Idaho Bureau of Laboratories,"Boise VA Medical Center, PALMS"
USA/ID-BVAMC-741836/2021,2021-07-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21I (Delta),AY.47,21I,Delta,AY.47,Idaho Bureau of Laboratories,"Boise VA Medical Center, PALMS"
USA/WA-ASC-210557470/2021,2021-12-27,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1,21K,Omicron,BA.1,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210726483/2022,2022-04-09,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3.4,21L,Omicron,BA.2.3.4,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210726644/2022,2022-04-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210727203/2022,2022-04-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210727204/2022,2022-04-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,22C (Omicron),BA.2.12.1,22C,Omicron,BA.2.12.1,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210727209/2022,2022-04-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210727326/2022,2022-04-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210727532/2022,2022-04-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210728022/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.9,21L,Omicron,BA.2.9,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210728781/2022,2022-04-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,22C (Omicron),BA.2.12.1,22C,Omicron,BA.2.12.1,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210728870/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.7,21L,Omicron,BA.2.7,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210776298/2022,2022-06-30,North America,USA,Washington,King County WA,North America,USA,Washington,Human,22B (Omicron),BA.5.2.1,22B,Omicron,BA.5.2.1,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210837338/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.72,21L,Omicron,BA.2.72,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210837420/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210837506/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210837516/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASC-210837517/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Aegis Sciences Corporation,Aegis Sciences Corporation
USA/WA-ASU-27132/2021,2021-12-08,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21A (Delta),AY.54,21A,Delta,AY.54,"School of Life Sciences, Arizona State University","School of Life Sciences, Arizona State University"
USA/WA-ASU12101/2021,2021-08-21,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21I (Delta),AY.26,21I,Delta,AY.26,Arizona State University,Arizona State University
USA/WA-ASU14552/2021,2021-09-08,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21A (Delta),AY.54,21A,Delta,AY.54,Arizona State University,Arizona State University
USA/WA-ASU15683/2021,2021-01-26,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20A,B.1.36,20A,,B.1.36,Arizona State University,Arizona State University
USA/WA-ASU16605/2021,2021-09-27,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),AY.25.1,21J,Delta,AY.25.1,Arizona State University,Arizona State University
USA/WA-ASU25639/2021,2021-11-30,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21A (Delta),AY.54,21A,Delta,AY.54,Arizona State University,Arizona State University
USA/WA-ASU28244/2021,2021-11-24,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),AY.39,21J,Delta,AY.39,Arizona State University,Arizona State University
USA/WA-ASU28709/2021,2021-12-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),AY.103,21J,Delta,AY.103,Arizona State University,Arizona State University
USA/WA-ASU36899/2022,2022-01-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Arizona State University,Arizona State University
USA/WA-ASU41691/2022,2022-02-03,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Arizona State University,Arizona State University
USA/WA-ASU46810/2022,2022-01-08,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Arizona State University,Arizona State University
USA/WA-ASU48464/2022,2022-01-08,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Arizona State University,Arizona State University
USA/WA-ASU51181/2022,2022-01-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Arizona State University,Arizona State University
USA/WA-ASU51804/2022,2022-01-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Arizona State University,Arizona State University
USA/WA-ASU52277/2022,2022-01-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Arizona State University,Arizona State University
USA/WA-ASU53657/2022,2022-01-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Arizona State University,Arizona State University
USA/WA-ASU54970/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Arizona State University,Arizona State University
USA/WA-ASU57611/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.17,21K,Omicron,BA.1.17,Arizona State University,Arizona State University
USA/WA-ASU59272/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1.18,21K,Omicron,BA.1.1.18,Arizona State University,Arizona State University
USA/WA-ASU60611/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.20,21K,Omicron,BA.1.20,Arizona State University,Arizona State University
USA/WA-ASU72647/2020,2020-09-01,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20C,B.1.305,20C,,B.1,Arizona State University,Arizona State University
USA/WA-ASU72910/2020,2020-09-03,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20A,B.1,20A,,B.1,Arizona State University,Arizona State University
USA/WA-BBI-S10590/2021,2021-08-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21A (Delta),AY.14,21A,Delta,AY.14,"The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group","The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group"
USA/WA-BBI-S12999/2021,2021-08-24,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),AY.120.1,21J,Delta,AY.120.1,"The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group","The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group"
USA/WA-BBI-S13543/2021,2021-08-28,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),AY.20,21J,Delta,AY.20,"The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group","The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group"
USA/WA-BBI-S14292/2021,2021-09-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),AY.25.1,21J,Delta,AY.25.1,"The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group","The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group"
USA/WA-BBI-S19962/2022,2022-05-03,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,"The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group","The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group"
USA/WA-BBI-S20917/2022,2022-03-02,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,"The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group","The Brotman Baty Institute for Precision Medicine, Seattle Flu Study submission group"
USA/WA-BVAMC-741584/2021,2021-07-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),AY.20,21J,Delta,AY.20,Idaho Bureau of Laboratories,"Boise VA Medical Center, PALMS"
