Specimen.Collection.Date,Total.Cases.7.Day.Count
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,2
2020-02-23,3
2020-02-24,4
2020-02-25,5
2020-02-26,7
2020-02-27,10
2020-02-28,18
2020-02-29,33
2020-03-01,44
2020-03-02,61
2020-03-03,75
2020-03-04,98
2020-03-05,133
2020-03-06,149
2020-03-07,154
2020-03-08,186
2020-03-09,204
2020-03-10,260
2020-03-11,297
2020-03-12,358
2020-03-13,454
2020-03-14,508
2020-03-15,510
2020-03-16,610
2020-03-17,663
2020-03-18,749
2020-03-19,809
2020-03-20,807
2020-03-21,814
2020-03-22,847
2020-03-23,914
2020-03-24,967
2020-03-25,998
2020-03-26,1012
2020-03-27,1105
2020-03-28,1120
2020-03-29,1166
2020-03-30,1196
2020-03-31,1220
2020-04-01,1220
2020-04-02,1225
2020-04-03,1216
2020-04-04,1214
2020-04-05,1163
2020-04-06,1095
2020-04-07,1086
2020-04-08,1051
2020-04-09,1033
2020-04-10,964
2020-04-11,941
2020-04-12,903
2020-04-13,885
2020-04-14,821
2020-04-15,814
2020-04-16,782
2020-04-17,795
2020-04-18,780
2020-04-19,785
2020-04-20,762
2020-04-21,742
2020-04-22,720
2020-04-23,694
2020-04-24,641
2020-04-25,652
2020-04-26,656
2020-04-27,655
2020-04-28,643
2020-04-29,646
2020-04-30,627
2020-05-01,667
2020-05-02,644
2020-05-03,625
2020-05-04,615
2020-05-05,598
2020-05-06,575
2020-05-07,570
2020-05-08,508
2020-05-09,512
2020-05-10,503
2020-05-11,469
2020-05-12,462
2020-05-13,454
2020-05-14,444
2020-05-15,469
2020-05-16,447
2020-05-17,448
2020-05-18,447
2020-05-19,421
2020-05-20,415
2020-05-21,390
2020-05-22,344
2020-05-23,338
2020-05-24,336
2020-05-25,273
2020-05-26,299
2020-05-27,275
2020-05-28,296
2020-05-29,329
2020-05-30,338
2020-05-31,333
2020-06-01,370
2020-06-02,364
2020-06-03,366
2020-06-04,338
2020-06-05,297
2020-06-06,293
2020-06-07,296
2020-06-08,303
2020-06-09,279
2020-06-10,273
2020-06-11,289
2020-06-12,323
2020-06-13,335
2020-06-14,346
2020-06-15,356
2020-06-16,393
2020-06-17,425
2020-06-18,451
2020-06-19,461
2020-06-20,492
2020-06-21,510
2020-06-22,586
2020-06-23,642
2020-06-24,710
2020-06-25,774
2020-06-26,819
2020-06-27,889
2020-06-28,894
2020-06-29,1045
2020-06-30,1119
2020-07-01,1188
2020-07-02,1262
2020-07-03,1250
2020-07-04,1162
2020-07-05,1179
2020-07-06,1090
2020-07-07,1105
2020-07-08,1080
2020-07-09,1054
2020-07-10,1141
2020-07-11,1191
2020-07-12,1193
2020-07-13,1219
2020-07-14,1211
2020-07-15,1251
2020-07-16,1232
2020-07-17,1231
2020-07-18,1242
2020-07-19,1250
2020-07-20,1226
2020-07-21,1242
2020-07-22,1221
2020-07-23,1243
2020-07-24,1192
2020-07-25,1192
2020-07-26,1176
2020-07-27,1179
2020-07-28,1162
2020-07-29,1140
2020-07-30,1109
2020-07-31,1123
2020-08-01,1104
2020-08-02,1082
2020-08-03,1036
2020-08-04,1012
2020-08-05,981
2020-08-06,977
2020-08-07,974
2020-08-08,983
2020-08-09,998
2020-08-10,1030
2020-08-11,987
2020-08-12,981
2020-08-13,968
2020-08-14,993
2020-08-15,1016
2020-08-16,1003
2020-08-17,985
2020-08-18,942
2020-08-19,948
2020-08-20,936
2020-08-21,876
2020-08-22,814
2020-08-23,826
2020-08-24,813
2020-08-25,868
2020-08-26,838
2020-08-27,827
2020-08-28,807
2020-08-29,824
2020-08-30,796
2020-08-31,754
2020-09-01,716
2020-09-02,708
2020-09-03,706
2020-09-04,684
2020-09-05,686
2020-09-06,692
2020-09-07,627
2020-09-08,623
2020-09-09,628
2020-09-10,612
2020-09-11,602
2020-09-12,579
2020-09-13,574
2020-09-14,625
2020-09-15,588
2020-09-16,546
2020-09-17,547
2020-09-18,552
2020-09-19,561
2020-09-20,555
2020-09-21,568
2020-09-22,583
2020-09-23,602
2020-09-24,629
2020-09-25,662
2020-09-26,686
2020-09-27,699
2020-09-28,807
2020-09-29,883
2020-09-30,939
2020-10-01,970
2020-10-02,1011
2020-10-03,1057
2020-10-04,1066
2020-10-05,1045
2020-10-06,1040
2020-10-07,1065
2020-10-08,1062
2020-10-09,1091
2020-10-10,1061
2020-10-11,1062
2020-10-12,1035
2020-10-13,1014
2020-10-14,1027
2020-10-15,1077
2020-10-16,1058
2020-10-17,1069
2020-10-18,1065
2020-10-19,1126
2020-10-20,1235
2020-10-21,1236
2020-10-22,1253
2020-10-23,1313
2020-10-24,1394
2020-10-25,1408
2020-10-26,1503
2020-10-27,1549
2020-10-28,1711
2020-10-29,1849
2020-10-30,1952
2020-10-31,2009
2020-11-01,2029
2020-11-02,2189
2020-11-03,2359
2020-11-04,2588
2020-11-05,2745
2020-11-06,2958
2020-11-07,3172
2020-11-08,3219
2020-11-09,3466
2020-11-10,3644
2020-11-11,3697
2020-11-12,3939
2020-11-13,4185
2020-11-14,4420
2020-11-15,4489
2020-11-16,4698
2020-11-17,4928
2020-11-18,5100
2020-11-19,5185
2020-11-20,5336
2020-11-21,5297
2020-11-22,5365
2020-11-23,5376
2020-11-24,5370
2020-11-25,5388
2020-11-26,4655
2020-11-27,4518
2020-11-28,4546
2020-11-29,4491
2020-11-30,4730
2020-12-01,4698
2020-12-02,4584
2020-12-03,5297
2020-12-04,5290
2020-12-05,5170
2020-12-06,5154
2020-12-07,5047
2020-12-08,4968
2020-12-09,4927
2020-12-10,4739
2020-12-11,4664
2020-12-12,4602
2020-12-13,4573
