"group","tag","level","date","lower","upper","median","organism"
"Seattle","90% CI",90,2018-11-14,1.85157498637708,2.96046220492357,2.33538456656153,"RSV A"
"Seattle","90% CI",90,2018-11-15,1.86365726761881,2.98333418390845,2.35201405452649,"RSV A"
"Seattle","90% CI",90,2018-11-16,1.87949370668439,2.99900619891252,2.36918497569598,"RSV A"
"Seattle","90% CI",90,2018-11-17,1.89619401514259,3.02216790555755,2.38654131786224,"RSV A"
"Seattle","90% CI",90,2018-11-18,1.91176287463523,3.04247660683212,2.40333727531685,"RSV A"
"Seattle","90% CI",90,2018-11-19,1.92979098984177,3.06002315163125,2.42071402767821,"RSV A"
"Seattle","90% CI",90,2018-11-20,1.94807913242786,3.07753281433026,2.43692335907432,"RSV A"
"Seattle","90% CI",90,2018-11-21,1.96352308394284,3.08313345385604,2.4480404322655,"RSV A"
"Seattle","90% CI",90,2018-11-22,1.97531729355597,3.07643187726861,2.45156241002983,"RSV A"
"Seattle","90% CI",90,2018-11-23,1.98049256106617,3.05539056414812,2.4482189076116,"RSV A"
"Seattle","90% CI",90,2018-11-24,1.98260522065103,3.02957780912335,2.44074558842096,"RSV A"
"Seattle","90% CI",90,2018-11-25,1.98114127776683,2.99827406831764,2.42607447950805,"RSV A"
"Seattle","90% CI",90,2018-11-26,1.97815738028902,2.965915567551,2.40868824107507,"RSV A"
"Seattle","90% CI",90,2018-11-27,1.96706244088657,2.92734188440788,2.38622025312129,"RSV A"
"Seattle","90% CI",90,2018-11-28,1.96022157379983,2.88099636877601,2.36316853942462,"RSV A"
"Seattle","90% CI",90,2018-11-29,1.9468859243898,2.83712417534735,2.33957127015112,"RSV A"
"Seattle","90% CI",90,2018-11-30,1.93382808351375,2.7840879343106,2.3157040192888,"RSV A"
"Seattle","90% CI",90,2018-12-01,1.92427595697939,2.74281884974277,2.29148729821259,"RSV A"
"Seattle","90% CI",90,2018-12-02,1.91066974182701,2.70530437413279,2.26693677843061,"RSV A"
"Seattle","90% CI",90,2018-12-03,1.89558751106646,2.66456667622464,2.23881077303162,"RSV A"
"Seattle","90% CI",90,2018-12-04,1.87763029376819,2.61338532651198,2.20847391365482,"RSV A"
"Seattle","90% CI",90,2018-12-05,1.8535170558056,2.56044039210272,2.17240634994772,"RSV A"
"Seattle","90% CI",90,2018-12-06,1.82245737649278,2.49915870598605,2.13151466982117,"RSV A"
"Seattle","90% CI",90,2018-12-07,1.7931733669449,2.43865725829075,2.08654022620667,"RSV A"
"Seattle","90% CI",90,2018-12-08,1.76005110699445,2.37429966478679,2.04069546244305,"RSV A"
"Seattle","90% CI",90,2018-12-09,1.72656166678689,2.31101096036411,1.99541877070568,"RSV A"
"Seattle","90% CI",90,2018-12-10,1.69361195406455,2.2552731463545,1.95240890774529,"RSV A"
"Seattle","90% CI",90,2018-12-11,1.66326951228341,2.20060644642534,1.91085868153949,"RSV A"
"Seattle","90% CI",90,2018-12-12,1.63097472224657,2.1514717249481,1.87092898025338,"RSV A"
"Seattle","90% CI",90,2018-12-13,1.60068675963327,2.10124426720115,1.83283265644757,"RSV A"
"Seattle","90% CI",90,2018-12-14,1.5684044631484,2.0518987521396,1.79389378665931,"RSV A"
"Seattle","90% CI",90,2018-12-15,1.53540654864349,2.00455296371864,1.75382813723791,"RSV A"
"Seattle","90% CI",90,2018-12-16,1.50262799660979,1.95495857289598,1.71434831430023,"RSV A"
"Seattle","90% CI",90,2018-12-17,1.46936930017998,1.90490889948803,1.67429700155053,"RSV A"
"Seattle","90% CI",90,2018-12-18,1.4344463385256,1.8574951177791,1.63447116201704,"RSV A"
