fips,date,mask_wearing_new,mask_wearing_old,mask_wearing_final
53033,2020-09-08,NA,90.3595885,90.3595885
53033,2020-09-09,NA,91.5581689,91.5581689
53033,2020-09-10,NA,92.5865857,92.5865857
53033,2020-09-11,NA,93.4575628,93.4575628
53033,2020-09-12,NA,93.6338181,93.6338181
53033,2020-09-13,NA,93.7507602,93.7507602
53033,2020-09-14,NA,93.9220063,93.9220063
53033,2020-09-15,NA,93.5793787,93.5793787
53033,2020-09-16,NA,94.1793339,94.1793339
53033,2020-09-17,NA,94.020507,94.020507
53033,2020-09-18,NA,93.5341738,93.5341738
53033,2020-09-19,NA,93.1175666,93.1175666
53033,2020-09-20,NA,92.5782467,92.5782467
53033,2020-09-21,NA,92.3485642,92.3485642
53033,2020-09-22,NA,93.2971711,93.2971711
53033,2020-09-23,NA,93.4855249,93.4855249
53033,2020-09-24,NA,93.0432032,93.0432032
53033,2020-09-25,NA,93.1677557,93.1677557
53033,2020-09-26,NA,93.2672536,93.2672536
53033,2020-09-27,NA,93.8161741,93.8161741
53033,2020-09-28,NA,93.214254,93.214254
53033,2020-09-29,NA,93.1462518,93.1462518
53033,2020-09-30,NA,92.7052348,92.7052348
53033,2020-10-01,NA,93.0649514,93.0649514
53033,2020-10-02,NA,93.1331323,93.1331323
53033,2020-10-03,NA,93.710545,93.710545
53033,2020-10-04,NA,93.822477,93.822477
53033,2020-10-05,NA,94.5637837,94.5637837
53033,2020-10-06,NA,94.2770278,94.2770278
53033,2020-10-07,NA,94.6993449,94.6993449
53033,2020-10-08,NA,94.5685672,94.5685672
53033,2020-10-09,NA,95.0030818,95.0030818
53033,2020-10-10,NA,94.426444,94.426444
53033,2020-10-11,NA,94.4048416,94.4048416
53033,2020-10-12,NA,93.6669419,93.6669419
53033,2020-10-13,NA,94.3506388,94.3506388
53033,2020-10-14,NA,94.44869,94.44869
53033,2020-10-15,NA,94.6948544,94.6948544
53033,2020-10-16,NA,93.746087,93.746087
53033,2020-10-17,NA,94.48693,94.48693
53033,2020-10-18,NA,94.8300818,94.8300818
53033,2020-10-19,NA,94.7749495,94.7749495
53033,2020-10-20,NA,94.6062006,94.6062006
53033,2020-10-21,NA,94.2155142,94.2155142
53033,2020-10-22,NA,94.606269,94.606269
53033,2020-10-23,NA,95.7040384,95.7040384
53033,2020-10-24,NA,95.7139478,95.7139478
53033,2020-10-25,NA,95.5254061,95.5254061
53033,2020-10-26,NA,97.0889329,97.0889329
53033,2020-10-27,NA,95.3564033,95.3564033
53033,2020-10-28,NA,95.7621364,95.7621364
53033,2020-10-29,NA,95.5313669,95.5313669
53033,2020-10-30,NA,94.5846785,94.5846785
53033,2020-10-31,NA,94.3099956,94.3099956
53033,2020-11-01,NA,94.4158728,94.4158728
53033,2020-11-02,NA,93.2452256,93.2452256
53033,2020-11-03,NA,94.6305279,94.6305279
53033,2020-11-04,NA,93.2460192,93.2460192
53033,2020-11-05,NA,93.3806037,93.3806037
53033,2020-11-06,NA,94.4596394,94.4596394
53033,2020-11-07,NA,93.1946882,93.1946882
53033,2020-11-08,NA,92.1045177,92.1045177
53033,2020-11-09,NA,93.2324655,93.2324655
53033,2020-11-10,NA,93.0192281,93.0192281
53033,2020-11-11,NA,94.1703081,94.1703081
53033,2020-11-12,NA,93.9501159,93.9501159
53033,2020-11-13,NA,93.6544795,93.6544795
53033,2020-11-14,NA,94.8836999,94.8836999
53033,2020-11-15,NA,95.789464,95.789464
53033,2020-11-16,NA,95.0763287,95.0763287
53033,2020-11-17,NA,95.4902431,95.4902431
53033,2020-11-18,NA,95.3702376,95.3702376
53033,2020-11-19,NA,95.8076509,95.8076509
53033,2020-11-20,NA,95.5149281,95.5149281
53033,2020-11-21,NA,95.1833415,95.1833415
53033,2020-11-22,NA,95.2383187,95.2383187
53033,2020-11-23,NA,95.803603,95.803603
53033,2020-11-24,NA,95.5460644,95.5460644
53033,2020-11-25,NA,95.9352461,95.9352461
53033,2020-11-26,NA,95.8360827,95.8360827
53033,2020-11-27,NA,95.7671421,95.7671421
53033,2020-11-28,NA,96.3646455,96.3646455
53033,2020-11-29,NA,96.5827023,96.5827023
53033,2020-11-30,NA,96.3337793,96.3337793
53033,2020-12-01,NA,96.5783526,96.5783526
53033,2020-12-02,NA,95.4887022,95.4887022
53033,2020-12-03,NA,94.8059483,94.8059483
53033,2020-12-04,NA,95.3064733,95.3064733
53033,2020-12-05,NA,95.1390619,95.1390619
53033,2020-12-06,NA,94.9339848,94.9339848
53033,2020-12-07,NA,94.8501243,94.8501243
53033,2020-12-08,NA,94.9383091,94.9383091
53033,2020-12-09,NA,96.0703213,96.0703213
53033,2020-12-10,NA,96.9077228,96.9077228
53033,2020-12-11,NA,96.8547886,96.8547886
53033,2020-12-12,NA,97.2339525,97.2339525
53033,2020-12-13,NA,97.1435827,97.1435827
53033,2020-12-14,NA,97.0100727,97.0100727
53033,2020-12-15,NA,96.8368619,96.8368619
53033,2020-12-16,NA,96.9215972,96.9215972
53033,2020-12-17,NA,96.7609984,96.7609984
53033,2020-12-18,NA,97.1362672,97.1362672
53033,2020-12-19,NA,97.0347284,97.0347284
53033,2020-12-20,NA,97.0305019,97.0305019
53033,2020-12-21,NA,97.8736308,97.8736308
53033,2020-12-22,NA,97.7245182,97.7245182
53033,2020-12-23,NA,97.4636409,97.4636409
53033,2020-12-24,NA,97.4276961,97.4276961
53033,2020-12-25,NA,97.2311012,97.2311012
53033,2020-12-26,NA,96.6922676,96.6922676
53033,2020-12-27,NA,96.6607543,96.6607543
53033,2020-12-28,NA,96.4051799,96.4051799
53033,2020-12-29,NA,96.7262166,96.7262166
53033,2020-12-30,NA,96.8681259,96.8681259
53033,2020-12-31,NA,96.9755003,96.9755003
53033,2021-01-01,NA,97.1067126,97.1067126
53033,2021-01-02,NA,97.822009,97.822009
53033,2021-01-03,NA,97.640368,97.640368
53033,2021-01-04,NA,97.5609693,97.5609693
53033,2021-01-05,NA,97.2627273,97.2627273
53033,2021-01-06,NA,97.2657262,97.2657262
53033,2021-01-07,NA,96.7311027,96.7311027
53033,2021-01-08,NA,96.4872596,96.4872596
53033,2021-01-09,NA,96.3568578,96.3568578
53033,2021-01-10,NA,96.669559,96.669559
53033,2021-01-11,NA,96.3885593,96.3885593
53033,2021-01-12,NA,96.7440533,96.7440533
53033,2021-01-13,NA,96.7984509,96.7984509
53033,2021-01-14,NA,97.1531645,97.1531645
53033,2021-01-15,NA,97.1106006,97.1106006
53033,2021-01-16,NA,97.2168689,97.2168689
53033,2021-01-17,NA,97.0819619,97.0819619
53033,2021-01-18,NA,97.3302171,97.3302171
53033,2021-01-19,NA,96.9322758,96.9322758
53033,2021-01-20,NA,96.608551,96.608551
53033,2021-01-21,NA,96.5744642,96.5744642
53033,2021-01-22,NA,96.727903800000007,96.727903800000007
53033,2021-01-23,NA,96.535419,96.535419
53033,2021-01-24,NA,97.017767,97.017767
53033,2021-01-25,NA,97.3426979,97.3426979
53033,2021-01-26,NA,97.5213517,97.5213517
53033,2021-01-27,NA,97.6654401,97.6654401
53033,2021-01-28,NA,97.656469,97.656469
53033,2021-01-29,NA,97.3972018,97.3972018
53033,2021-01-30,NA,96.9454844,96.9454844
53033,2021-01-31,NA,96.3428181,96.3428181
53033,2021-02-01,NA,96.3526032,96.3526032
53033,2021-02-02,NA,96.4871109,96.4871109
53033,2021-02-03,NA,96.5838689,96.5838689
