fips,date,completely_home_prop,median_home_dwell_time
53033,2021-04-01,0.2985359,787.5549965
53033,2021-04-02,0.2993957,792.5355741
53033,2021-04-03,0.3023974,791.2048702
53033,2021-04-04,0.3009551,786.2035621
53033,2021-04-05,0.2971079,776.8206237
53033,2021-04-06,0.2949524,765.9205231
53033,2021-04-07,0.2957045,750.0698189
53033,2021-04-08,0.2942054,740.7061368
53033,2021-04-09,0.2970459,730.2807123
53033,2021-04-10,0.2983371,712.4534661
53033,2021-04-11,0.2938863,693.4901408
53033,2021-04-12,0.2973494,692.867116
53033,2021-04-13,0.2984723,695.9247636
53033,2021-04-14,0.2952266,700.670522
53033,2021-04-15,0.2980108,692.4159292
53033,2021-04-16,0.2947087,692.3945305
53033,2021-03-01,0.3422254,855.3108787
53033,2021-03-02,0.3405976,859.0687714
53033,2021-03-03,0.3360787,859.2196863
53033,2021-03-04,0.3321166,855.9045752
53033,2021-03-05,0.3289325,859.1798069
53033,2021-03-06,0.3260909,859.7749397
53033,2021-03-07,0.3245782,879.6182239
53033,2021-03-08,0.3296564,882.3503672
53033,2021-03-09,0.3310744,879.1141851
53033,2021-03-10,0.3327752,872.7178791
53033,2021-03-11,0.3313011,869.6520777
53033,2021-03-12,0.3301138,863.337861
53033,2021-03-13,0.3321199,850.5245522
53033,2021-03-14,0.3334698,824.7245925
53033,2021-03-15,0.3284564,820.8876031
53033,2021-03-16,0.3249207,818.8048093
53033,2021-03-17,0.3220853,819.8728242
53033,2021-03-18,0.3212961,818.6967502
53033,2021-03-19,0.3179236,817.2048496
53033,2021-03-20,0.3151762,817.2449698
53033,2021-03-21,0.3120193,819.1697354
53033,2021-03-22,0.3092687,815.0478873
53033,2021-03-23,0.3080267,807.3889727
53033,2021-03-24,0.3072619,801.4633263
53033,2021-03-25,0.3041035,794.8296609
53033,2021-03-26,0.3021162,787.1053426
53033,2021-03-27,0.2983527,783.8366875
53033,2021-03-28,0.3002756,783.4604085
53033,2021-03-29,0.2999147,782.1609138
53033,2021-03-30,0.2987159,786.3655027
53033,2021-03-31,0.2981004,789.6018919
53033,2021-02-01,0.3823589,819.4992961
53033,2021-02-02,0.3754601,857.1347546
53033,2021-02-03,0.3738192,860.1138489
53033,2021-02-04,0.3738751,859.6971434
53033,2021-02-05,0.3734337,858.2853551
53033,2021-02-06,0.3715329,858.7360161
53033,2021-02-07,0.3684732,856.7292023
53033,2021-02-08,0.3683692,855.8902635
53033,2021-02-09,0.3655621,847.9633876
53033,2021-02-10,0.365553,851.9551398
53033,2021-02-11,0.3642967,852.7209817
53033,2021-02-12,0.3674321,853.5744317
53033,2021-02-13,0.3897562,875.3126823
53033,2021-02-14,0.404568,883.8485214
53033,2021-02-15,0.4071073,884.570509
53033,2021-02-16,0.4059448,876.1215931
53033,2021-02-17,0.4012649,862.6025744
53033,2021-02-18,0.3976256,850.2834875
53033,2021-02-19,0.3910136,841.3202936
53033,2021-02-20,0.3633032,811.6785678
53033,2021-02-21,0.344144,801.7888967
53033,2021-02-22,0.3376179,805.2478125
53033,2021-02-23,0.3364569,810.5946897
53033,2021-02-24,0.3405688,826.0853867
53033,2021-02-25,0.3426363,840.9071802
53033,2021-02-26,0.3444781,848.2098542
53033,2021-02-27,0.3449893,861.2105581
53033,2021-02-28,0.3457968,860.7151619
53033,2021-01-01,0.3582592,772.0494423
53033,2021-01-02,0.3609394,776.9255351
53033,2021-01-03,0.3664886,789.3169531
53033,2021-01-04,0.3800282,807.33062
53033,2021-01-05,0.3888656,821.319598
53033,2021-01-06,0.3951972,827.6532315
53033,2021-01-07,0.4047064,838.8283417
53033,2021-01-08,0.4009617,838.6398352
53033,2021-01-09,0.399294,844.8235176
53033,2021-01-10,0.39349,842.285298
53033,2021-01-11,0.3868466,837.1489298
53033,2021-01-12,0.3850067,834.962922
53033,2021-01-13,0.379246,829.6732643
53033,2021-01-14,0.3772129,823.9459405
53033,2021-01-15,0.3738046,820.9545774
53033,2021-01-16,0.3696484,814.6692795
53033,2021-01-17,0.3671984,816.2194754
53033,2021-01-18,0.3625929,819.1765829
53033,2021-01-19,0.3601345,823.9185848
53033,2021-01-20,0.3645482,832.6312192
53033,2021-01-21,0.3642826,837.8818858
53033,2021-01-22,0.3619972,842.0275432
53033,2021-01-23,0.3620466,844.9070071
53033,2021-01-24,0.3647092,850.5949723
53033,2021-01-25,0.3685428,849.3513323
53033,2021-01-26,0.3755421,819.4687249
53033,2021-01-27,0.3742561,815.1055014
53033,2021-01-28,0.3959402,753.6447395
53033,2021-01-29,0.3974941,754.5516548
53033,2021-01-30,0.3990934,755.3675953
53033,2021-01-31,0.4008193,752.372624
53033,2020-12-01,0.3770291397921536,797.199296482412
53033,2020-12-02,0.378510282135318,798.429404079992
53033,2020-12-03,0.3723865938068115,790.3498140890363
53033,2020-12-04,0.37052522698922585,792.5891870163803
53033,2020-12-05,0.36765366295372254,796.1482263089136
53033,2020-12-06,0.3687671807823916,801.2580904522613
53033,2020-12-07,0.3696484169672522,804.0792039400944
53033,2020-12-08,0.3725901115869771,808.4089447236181
53033,2020-12-09,0.3745462601401438,818.0585988541562
53033,2020-12-10,0.3750059353023366,824.383293124246
53033,2020-12-11,0.3766982954361871,823.5088953663685
53033,2020-12-12,0.3756823583533978,822.8816080402011
53033,2020-12-13,0.377168426461,819.7905738116772
53033,2020-12-14,0.37679134259406233,818.8966036977492
53033,2020-12-15,0.3730981236212672,816.5727491961414
53033,2020-12-16,0.3722721150577095,814.7978498945042
53033,2020-12-17,0.3693976186500094,808.7870202933494
53033,2020-12-18,0.3673215850937408,807.07805907173
53033,2020-12-19,0.368063762006847,803.88516025319
53033,2020-12-20,0.3626940577617437,800.4845775143173
53033,2020-12-21,0.36002113878439673,787.3012157138551
53033,2020-12-22,0.3536046932240997,779.4872902642419
53033,2020-12-23,0.3449081119333039,773.2453531598513
53033,2020-12-24,0.3402846211647464,772.2670551592485
53033,2020-12-25,0.3549457488108449,787.9778961117252
53033,2020-12-26,0.3581442497650308,787.8790436005626
53033,2020-12-27,0.3606816337065565,784.773133728524
53033,2020-12-28,0.35601423102911955,788.3674269064603
53033,2020-12-29,0.3597227665511542,785.4363508489903
53033,2020-12-30,0.3645543327293739,785.46820054255
53033,2020-12-31,0.36350107611401256,779.6995578778135
53033,2019-01-01,0.3988833525084289,723.945109078114
53033,2019-01-02,0.3712545298797108,671.2578262398874
53033,2019-01-03,0.3624265071098827,657.3085580304806
53033,2019-01-04,0.3519891022780533,650.2022155793916
53033,2019-01-05,0.3579129870661646,666.1765367843578
53033,2019-01-06,0.36439415252577606,682.5126011018638
53033,2019-01-07,0.3607161495390512,659.2898623530593
53033,2019-01-08,0.35126608729748926,644.4267631103074
53033,2019-01-09,0.34967949871344484,645.1392405063291
53033,2019-01-10,0.3470938830352854,644.5813743218806
53033,2019-01-11,0.3467347388915329,640.8963230861965
53033,2019-01-12,0.3447970365332663,644.9295760498292
53033,2019-01-13,0.344130727919684,654.4575045207956
53033,2019-01-14,0.34245002137516256,670.0524412296564
53033,2019-01-15,0.34207356932344746,669.5310427968656
53033,2019-01-16,0.3402614897160342,669.1390395820775
53033,2019-01-17,0.3401587343721671,667.5515370705244
53033,2019-01-18,0.34160324097000766,665.9629294755877
53033,2019-01-19,0.3416515312026347,662.4894514767932
53033,2019-01-20,0.3420643951389631,658.6277878239904
53033,2019-01-21,0.3509419241866139,675.1440626883665
53033,2019-01-22,0.3511357093654399,678.4283705043199
53033,2019-01-23,0.35231412666238765,681.5920827891088
53033,2019-01-24,0.35110298916091626,684.4337385712851
53033,2019-01-25,0.3500808086621477,686.7075253692354
53033,2019-01-26,0.3487515162320496,689.329146990857
53033,2019-01-27,0.34815323560203976,692.5213503466291
53033,2019-01-28,0.3405598130220399,677.184466994876
53033,2019-01-29,0.3371175939814863,675.3741585451622
53033,2019-01-30,0.33553234700276885,675.0088406670685
53033,2019-01-31,0.3318276692160857,672.27677315652
53033,2019-02-01,0.3315220437766993,670.2707726313674
53033,2019-02-02,0.3325172874602945,666.2216639871383
53033,2019-02-03,0.3386296839953568,662.1466184303085
53033,2019-02-04,0.3683520310228752,693.271959798995
53033,2019-02-05,0.38753745946021145,708.9143546441496
53033,2019-02-06,0.391169977923994,706.5324688379574
53033,2019-02-07,0.3968000272943272,701.3768596702855
53033,2019-02-08,0.4046947075887621,716.0298522464569
