"","residence_census_tract","puma"
"1","53011041107","11102"
"2","53061042006","11702"
"3","53061050102","11702"
"4","53053073122","11506"
"5","53061050600","11701"
"6","53061050900","11701"
"7","53067010400","11401"
"8","53067011200","11401"
"9","53067011300","11401"
"10","53067011410","11401"
"11","53067011420","11401"
"12","53067011500","11401"
"13","53067012330","11401"
"14","53067012420","11402"
"15","53067011610","11401"
"16","53067011000","11402"
"17","53067012320","11402"
"18","53067012100","11402"
"19","53067010600","11401"
"20","53067012310","11401"
"21","53067010200","11401"
"22","53067010100","11401"
"23","53067011900","11402"
"24","53067012000","11402"
"25","53067010300","11401"
"26","53067010800","11401"
"27","53067011810","11402"
"28","53067010700","11401"
"29","53061040100","11703"
"30","53061040300","11703"
"31","53061040800","11703"
"32","53061990100","11706"
"33","53047970900","10400"
"34","53047970700","10400"
"35","53047970400","10400"
"36","53047970500","10400"
"37","53047971000","10400"
"38","53047970300","10400"
"39","53047970800","10400"
"40","53047970600","10400"
"41","53033022101","11606"
"42","53039950200","11000"
"43","53039950100","11000"
"44","53039950300","11000"
"45","53033022102","11606"
"46","53033022201","11607"
"47","53033022202","11607"
"48","53061053801","11705"
"49","53061940002","11706"
"50","53061052705","11706"
"51","53061052204","11705"
"52","53061051915","11704"
"53","53061051802","11702"
"54","53061051300","11701"
"55","53061042001","11702"
"56","53061052503","11705"
"57","53061052108","11704"
"58","53061052605","11705"
"59","53061041901","11702"
"60","53061042003","11702"
"61","53061041000","11703"
"62","53061050401","11701"
"63","53061051912","11704"
"64","53061052007","11704"
"65","53061041100","11703"
"66","53061041201","11703"
"67","53061041301","11702"
"68","53061041500","11703"
"69","53061053506","11706"
"70","53061052805","11706"
"71","53061041601","11703"
"72","53061041605","11703"
"73","53061041606","11703"
"74","53061041607","11703"
"75","53011041008","11102"
"76","53033023801","11608"
"77","53033026700","11611"
"78","53033026801","11611"
"79","53033027000","11611"
"80","53033027100","11611"
"81","53033026500","11611"
"82","53033027200","11611"
"83","53033027300","11611"
"84","53061041701","11703"
"85","53061041805","11703"
"86","53033027400","11611"
"87","53033027500","11611"
"88","53033027600","11611"
"89","53063011701","10503"
"90","53033027702","11612"
"91","53061041806","11703"
"92","53061041808","11703"
"93","53033027800","11611"
"94","53011041003","11101"
"95","53033027900","11611"
"96","53033028000","11611"
"97","53033028100","11611"
"98","53033028200","11611"
"99","53033028402","11611"
"100","53033029303","11610"
"101","53033029304","11610"
"102","53033029305","11613"
"103","53033029405","11613"
"104","53033028403","11611"
"105","53033029407","11613"
"106","53033029408","11613"
"107","53033029503","11613"
"108","53033029504","11613"
"109","53033029601","11613"
"110","53045960200","11300"
"111","53045960600","11300"
"112","53045961000","11300"
"113","53045960100","11300"
"114","53045960400","11300"
"115","53045960700","11300"
"116","53045961200","11300"
"117","53053073406","11506"
"118","53011041007","11102"
"119","53053071309","11506"
"120","53053940003","11505"
"121","53033029406","11613"
"122","53061041903","11702"
"123","53061041904","11703"
"124","53033029901","11614"
"125","53033029902","11614"
"126","53033029802","11614"
"127","53033030404","11614"
"128","53033030501","11614"
"129","53033030503","11614"
"130","53061041905","11702"
"131","53061042004","11702"
"132","53009990100","11900"
"133","53033030504","11614"
"134","53033030600","11614"
"135","53033030801","11614"
"136","53033030802","11614"
"137","53033030901","11614"
"138","53033030902","11614"
"139","53033030201","11612"
"140","53053073121","11506"
"141","53033030202","11612"
"142","53033030304","11612"
"143","53033030305","11612"
"144","53033030306","11612"
"145","53033030003","11612"
"146","53033030309","11612"
"147","53033030310","11612"
"148","53033030311","11612"
"149","53033030312","11612"
"150","53033031000","11614"
"151","53033031100","11614"
"152","53033031206","11614"
"153","53033031302","11615"
"154","53053073120","11506"
"155","53047940100","10400"
"156","53047940200","10400"
"157","53033024100","11608"
"158","53033024300","11609"
"159","53033024400","11609"
"160","53033024500","11609"
"161","53033024601","11609"
"162","53019940000","10400"
"163","53019970200","10400"
"164","53019970100","10400"
"165","53067011621","11401"
"166","53067011623","11401"
"167","53067010510","11401"
"168","53027001000","11300"
"169","53027001100","11300"
"170","53031950202","11900"
"171","53031950500","11900"
"172","53031950601","11900"
"173","53031950300","11900"
"174","53031950602","11900"
"175","53031950400","11900"
"176","53027001200","11300"
"177","53063004601","10502"
"178","53063011000","10501"
"179","53063001400","10501"
"180","53057951700","10200"
"181","53057952600","10200"
"182","53063000800","10501"
"183","53063004700","10502"
"184","53063004500","10502"
"185","53063001500","10501"
"186","53063013100","10503"
"187","53077001602","10901"
"188","53077001601","10902"
"189","53077002802","10901"
"190","53077002801","10902"
"191","53077002102","10902"
"192","53077002101","10902"
"193","53077001902","10902"
"194","53077003400","10901"
"195","53077003001","10902"
"196","53033006000","11603"
"197","53033006600","11603"
"198","53033006700","11603"
"199","53033006800","11603"
"200","53033006900","11603"
"201","53033024702","11609"
"202","53033030308","11612"
"203","53033031301","11615"
"204","53033031906","11615"
"205","53033032104","11609"
"206","53033032315","11616"
"207","53033032401","11616"
"208","53033000402","11601"
"209","53033000500","11601"
"210","53033001100","11602"
"211","53033001200","11602"
"212","53033001300","11601"
"213","53033001500","11601"
"214","53053061002","11502"
"215","53053061100","11501"
"216","53053061200","11501"
"217","53053061400","11501"
"218","53053061500","11501"
"219","53053061601","11501"
"220","53053061602","11501"
"221","53053061700","11501"
"222","53053061800","11501"
"223","53053061900","11501"
"224","53053073115","11507"
"225","53053073116","11507"
"226","53053073301","11505"
"227","53053073302","11505"
"228","53033003500","11601"
"229","53033004000","11602"
"230","53033004100","11602"
"231","53033004200","11602"
"232","53033003400","11601"
"233","53033004500","11602"
"234","53033004700","11601"
"235","53033004800","11601"
"236","53005010300","10701"
"237","53005011501","10702"
"238","53005010201","10701"
"239","53005012000","10703"
"240","53005010803","10702"
"241","53005011800","10703"
"242","53005011600","10703"
"243","53005010100","10701"
"244","53005010901","10702"
"245","53005011001","10702"
"246","53005011300","10702"
